UID,Age,Married,Children,Gender,Countries,Places,Tags,a462f170-3fbd-11ed-8532-25ac716829d2,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,859885e0-3f5c-11ed-932d-f3da64a32a3d,4ec69bb0-3fb6-11ed-a80e-41bcc21ccda4,aabe43a0-3fc0-11ed-8532-25ac716829d2,0a3cb540-3fb3-11ed-9753-b34f46defa19,eb3ffa30-3fc1-11ed-8532-25ac716829d2,4f14f7e0-3fb8-11ed-a80e-41bcc21ccda4,2b423270-3fc1-11ed-8532-25ac716829d2,89c304d0-5cec-11ed-9695-d9c26891bc38,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
1,22,No,No,Female,"Middle-eastern, European, American","Restaurants, malls, Parks","#morning, #coffee, #breakfast, #hotel, #study, #work, #coffee",a462f170-3fbd-11ed-8532-25ac716829d2,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,,859885e0-3f5c-11ed-932d-f3da64a32a3d,,,,,,,,,,,,,,,,,,,,
2,22,Single,noKids,Female,"Middle-eastern, Asian, American","Parks,Sports","#morning, #coffee, #breakfast, #hotel, #meetUp, #friends, #coffee, #study, #work, #coffee, #libarary",a462f170-3fbd-11ed-8532-25ac716829d2,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,859885e0-3f5c-11ed-932d-f3da64a32a3d,,,0a3cb540-3fb3-11ed-9753-b34f46defa19,,,,,,,,,,,,,,,,,
3,15,Single,noKids,Male,Middle-eastern,Museums,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,Single,noKids,Female,"Middle-eastern, European","Restaurants, Parks","#meetUp, #friends, #coffee, #study, #work, #coffee, #barks, #libarary",,,26dfd4a0-3fbf-11ed-8532-25ac716829d2,859885e0-3f5c-11ed-932d-f3da64a32a3d,,aabe43a0-3fc0-11ed-8532-25ac716829d2,0a3cb540-3fb3-11ed-9753-b34f46defa19,,,,,,,,,,,,,,,,,
5,18,Single,noKids,Male,"Middle-eastern, Asian, European, American,African ","Parks, Museums",#hotel,,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,,,,,,,,,,,,,,,,,,,,,,
6,23,Single,noKids,Male,"Asian, European","Restaurants, Parks",#hotel,,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,,,,,,,,,,,,,,,,,,,,,,
7,18,Single,noKids,Female,Asian,"Restaurants, malls, Parks, Museums","#hotel, #meetUp, #friends, #coffee, #barks",,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,,,aabe43a0-3fc0-11ed-8532-25ac716829d2,,,,,,,,,,,,,,,,,,
8,25,Single,noKids,Female,"Asian,African ","Parks,Sports","#hotel, #study, #work, #coffee, #barks",,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,,859885e0-3f5c-11ed-932d-f3da64a32a3d,,aabe43a0-3fc0-11ed-8532-25ac716829d2,,,,,,,,,,,,,,,,,,
9,22,Single,noKids,Female,"Middle-eastern, European","Restaurants, malls, Parks, Museums","#morning, #coffee, #breakfast, #hotel, #meetUp, #friends, #coffee, #study, #work, #coffee, #barks, #libarary, #Dinner, #restaurant, #family, #friends, #family, #friends, #coffee, #riyadh",a462f170-3fbd-11ed-8532-25ac716829d2,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,859885e0-3f5c-11ed-932d-f3da64a32a3d,,aabe43a0-3fc0-11ed-8532-25ac716829d2,0a3cb540-3fb3-11ed-9753-b34f46defa19,,4f14f7e0-3fb8-11ed-a80e-41bcc21ccda4,2b423270-3fc1-11ed-8532-25ac716829d2,,,,,,,,,,,,,,
10,21,Single,noKids,Female,"Asian, European","Restaurants, Parks, Museums","#hotel, #meetUp, #friends, #coffee, #meetUp, #friends, #coffee, #barks, #libarary",,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,,,aabe43a0-3fc0-11ed-8532-25ac716829d2,0a3cb540-3fb3-11ed-9753-b34f46defa19,,,,,,,,,,,,,,,,,
11,22,Single,noKids,Female,"Middle-eastern, Asian",malls,"#morning, #coffee, #breakfast",a462f170-3fbd-11ed-8532-25ac716829d2,,,,,,,,,,,,,,,,,,,,,,,
12,22,Single,noKids,Female,American,"Restaurants, malls","#hotel, #meetUp, #friends, #coffee, #meetUp, #friends, #coffee, #friends, #coffee, #barks, #libarary, #dinner, #quiet_place, #Dinner, #restaurant, #family, #friends, #family, #friends, #coffee, #riyadh",,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,,4ec69bb0-3fb6-11ed-a80e-41bcc21ccda4,aabe43a0-3fc0-11ed-8532-25ac716829d2,0a3cb540-3fb3-11ed-9753-b34f46defa19,eb3ffa30-3fc1-11ed-8532-25ac716829d2,4f14f7e0-3fb8-11ed-a80e-41bcc21ccda4,2b423270-3fc1-11ed-8532-25ac716829d2,,,,,,,,,,,,,,
13,22,Single,noKids,Female,European,Restaurants,"#morning, #coffee, #breakfast, #hotel, #meetUp, #friends, #coffee, #study, #work, #coffee, #friends, #coffee, #barks, #libarary, #dinner, #quiet_place, #Dinner, #restaurant, #family, #friends, #family, #friends, #coffee, #riyadh",a462f170-3fbd-11ed-8532-25ac716829d2,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,859885e0-3f5c-11ed-932d-f3da64a32a3d,4ec69bb0-3fb6-11ed-a80e-41bcc21ccda4,aabe43a0-3fc0-11ed-8532-25ac716829d2,0a3cb540-3fb3-11ed-9753-b34f46defa19,eb3ffa30-3fc1-11ed-8532-25ac716829d2,4f14f7e0-3fb8-11ed-a80e-41bcc21ccda4,2b423270-3fc1-11ed-8532-25ac716829d2,,,,,,,,,,,,,,
14,21,Single,noKids,Female,"Middle-eastern, Asian, European, American,African ","Restaurants, malls, Parks","#hotel, #meetUp, #friends, #coffee, #meetUp, #friends, #coffee, #study, #work, #coffee, #libarary, #family, #friends, #coffee, #riyadh",,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,859885e0-3f5c-11ed-932d-f3da64a32a3d,,,0a3cb540-3fb3-11ed-9753-b34f46defa19,,,2b423270-3fc1-11ed-8532-25ac716829d2,,,,,,,,,,,,,,
15,22,Single,noKids,Female,"Middle-eastern, European, American","Restaurants, malls, Parks, Museums,Sports","#morning, #coffee, #breakfast, #hotel, #meetUp, #friends, #coffee, #study, #work, #coffee, #friends, #coffee, #barks, #libarary, #dinner, #quiet_place, #Dinner, #restaurant, #family, #friends, #family, #friends, #coffee, #riyadh",a462f170-3fbd-11ed-8532-25ac716829d2,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,859885e0-3f5c-11ed-932d-f3da64a32a3d,4ec69bb0-3fb6-11ed-a80e-41bcc21ccda4,aabe43a0-3fc0-11ed-8532-25ac716829d2,0a3cb540-3fb3-11ed-9753-b34f46defa19,eb3ffa30-3fc1-11ed-8532-25ac716829d2,4f14f7e0-3fb8-11ed-a80e-41bcc21ccda4,2b423270-3fc1-11ed-8532-25ac716829d2,,,,,,,,,,,,,,
16,20,Single,noKids,Female,"Asian, European,African ","Restaurants,Sports","#hotel, #meetUp, #friends, #coffee, #meetUp, #friends, #coffee, #study, #work, #coffee, #libarary, #dinner, #quiet_place, #Dinner, #restaurant, #family, #friends",,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,859885e0-3f5c-11ed-932d-f3da64a32a3d,,,0a3cb540-3fb3-11ed-9753-b34f46defa19,eb3ffa30-3fc1-11ed-8532-25ac716829d2,4f14f7e0-3fb8-11ed-a80e-41bcc21ccda4,,,,,,,,,,,,,,,
17,22,Single,noKids,Female,Asian,"Restaurants, malls, Parks, Museums","#morning, #coffee, #breakfast, #hotel, #meetUp, #friends, #coffee, #study, #work, #coffee, #friends, #coffee, #barks, #libarary, #dinner, #quiet_place, #Dinner, #restaurant, #family, #friends, #family, #friends, #coffee, #riyadh",a462f170-3fbd-11ed-8532-25ac716829d2,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,859885e0-3f5c-11ed-932d-f3da64a32a3d,4ec69bb0-3fb6-11ed-a80e-41bcc21ccda4,aabe43a0-3fc0-11ed-8532-25ac716829d2,0a3cb540-3fb3-11ed-9753-b34f46defa19,eb3ffa30-3fc1-11ed-8532-25ac716829d2,4f14f7e0-3fb8-11ed-a80e-41bcc21ccda4,2b423270-3fc1-11ed-8532-25ac716829d2,,,,,,,,,,,,,,
18,18,Single,noKids,Female,European,malls,"#morning, #coffee, #breakfast, #hotel, #meetUp, #friends, #coffee, #study, #work, #coffee, #libarary, #family, #friends, #coffee, #riyadh",a462f170-3fbd-11ed-8532-25ac716829d2,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,859885e0-3f5c-11ed-932d-f3da64a32a3d,,,0a3cb540-3fb3-11ed-9753-b34f46defa19,,,2b423270-3fc1-11ed-8532-25ac716829d2,,,,,,,,,,,,,,
19,21,Single,noKids,Female,Asian,"Restaurants, malls","#morning, #coffee, #breakfast, #hotel, #meetUp, #friends, #coffee, #study, #work, #coffee, #friends, #coffee, #barks, #dinner, #quiet_place, #Dinner, #restaurant, #family, #friends, #family, #friends, #coffee, #riyadh",a462f170-3fbd-11ed-8532-25ac716829d2,f155b5b0-3fb5-11ed-a80e-41bcc21ccda4,26dfd4a0-3fbf-11ed-8532-25ac716829d2,859885e0-3f5c-11ed-932d-f3da64a32a3d,4ec69bb0-3fb6-11ed-a80e-41bcc21ccda4,aabe43a0-3fc0-11ed-8532-25ac716829d2,,eb3ffa30-3fc1-11ed-8532-25ac716829d2,4f14f7e0-3fb8-11ed-a80e-41bcc21ccda4,2b423270-3fc1-11ed-8532-25ac716829d2,,,,,,,,,,,,,,
